TASK	PID	Vist	Session	Range x	Range y	Range z	Range pitch	Range roll	Range yaw	Max Displacement	Max Scan-to-Scan Displacement	Mean Scan-to-Scan Displacement	Num Scans > 0.5 Voxel Displacement	Num Scans > 5% Global Signal	% of Volumes Repaired
comp_mix_run1	10126	1	1	0.625478	3.361858	5.293701	3.596764	0.468298	0.453410	3.721928	2.512684	0.129890	2.000000	0.000000	0.765306
comp_mix_run2	10126	1	1	0.300000	0.276161	0.242070	0.404696	0.368981	0.234592	0.544322	0.195982	0.096108	0.000000	0.000000	0.429185
comp_num_run2	10126	1	1	0.744752	3.658906	6.804562	5.633280	1.783210	1.187656	6.494153	4.650960	0.195594	7.000000	0.000000	2.168022
comp_dot_run1	10298	1	1	0.290251	0.519249	0.617714	0.738819	0.377922	0.253520	0.671287	0.319526	0.098222	0.000000	0.000000	0.255102
comp_dot_run2	10298	1	1	0.476019	0.386755	0.874459	0.766427	0.605839	0.477711	1.013809	0.374798	0.107181	0.000000	0.000000	0.255102
comp_mix_run1	10298	1	1	0.199953	0.355677	0.687604	0.926774	0.268713	0.167089	0.991191	0.522277	0.099317	0.000000	0.000000	0.255102
comp_mix_run2	10298	1	1	0.313902	0.475876	1.073852	0.920501	0.473166	0.473966	0.765574	0.505543	0.111060	0.000000	0.000000	0.255102
comp_num_run1	10298	1	1	0.368866	0.387202	1.595589	0.769406	0.332376	0.361010	1.368748	0.860086	0.101296	0.000000	0.000000	0.255102
comp_num_run2	10298	1	1	0.481870	0.424563	1.127273	0.798981	0.405123	0.366519	1.099480	0.967818	0.106259	0.000000	0.000000	0.255102
symbolic1	10298	1	1	0.399814	0.281983	0.696604	0.695316	0.751202	1.019058	1.461024	0.880068	0.102103	0.000000	0.000000	0.222717
symbolic2	10298	1	1	0.246866	0.391858	0.888624	1.023677	0.546228	0.221950	1.177731	0.362960	0.091614	0.000000	0.000000	0.222717
comp_dot_run1	10332	1	1	0.944623	1.298052	1.302446	2.342630	1.377016	0.905352	2.725933	1.421270	0.105081	0.000000	0.000000	0.255102
comp_dot_run2	10332	1	1	1.257802	4.989842	3.977662	7.502750	1.497649	0.956365	7.861854	7.436049	0.235995	3.000000	0.000000	1.020408
comp_mix_run1	10332	1	1	0.223888	0.472563	0.211347	0.552150	0.249900	0.304149	0.686053	0.234500	0.073825	0.000000	0.000000	0.255102
comp_mix_run2	10332	1	1	0.206713	0.415688	0.171463	0.503834	0.231179	0.226853	0.706179	0.195523	0.077931	0.000000	0.000000	0.255102
comp_num_run1	10332	1	1	0.616718	1.342872	1.614325	1.781774	0.925432	1.721090	3.002755	1.202686	0.099143	0.000000	0.000000	0.255102
comp_num_run2	10332	1	1	0.657918	1.780821	2.527017	3.657471	1.853710	0.666611	3.986443	1.873519	0.136708	1.000000	0.000000	0.510204
comp_dot_run1	9012	2	1	0.310299	0.379647	0.424868	0.422018	0.327106	0.098308	0.514493	0.274357	0.067422	0.000000	0.000000	0.255102
comp_dot_run2	9012	2	1	0.269034	0.361038	0.431202	0.197279	0.320823	0.216204	0.558702	0.176010	0.066941	0.000000	0.000000	0.255102
comp_mix_run1	9012	2	1	0.402597	0.470611	0.995863	0.430521	0.280504	0.397484	0.723182	0.422337	0.076271	0.000000	0.000000	0.255102
comp_mix_run2	9012	2	1	0.181912	0.299924	0.324009	0.178407	0.214131	0.141997	0.244520	0.235358	0.067778	0.000000	0.000000	0.255102
comp_num_run1	9012	2	1	0.292772	0.444124	0.673477	0.483453	0.239806	0.155142	0.769727	0.290183	0.069274	0.000000	0.000000	0.255102
comp_num_run2	9012	2	1	0.205446	0.358477	0.313625	0.272426	0.152918	0.061163	0.373298	0.199196	0.066190	0.000000	0.000000	0.255102
symbolic1	9012	2	1	0.121720	0.198436	0.328079	0.332996	0.151092	0.109602	0.377260	0.165253	0.077463	0.000000	0.000000	0.222717
symbolic2	9012	2	1	0.468098	0.459044	0.657259	0.453464	1.126142	0.444191	1.359152	0.745962	0.082584	0.000000	0.000000	0.222717
comp_dot_run1	9012	2	2	0.310299	0.379647	0.424868	0.422018	0.327106	0.098308	0.514493	0.274357	0.067422	0.000000	0.000000	0.255102
comp_dot_run2	9012	2	2	0.269034	0.361038	0.431202	0.197279	0.320823	0.216204	0.558702	0.176010	0.066941	0.000000	0.000000	0.255102
comp_mix_run1	9012	2	2	0.402597	0.470611	0.995863	0.430521	0.280504	0.397484	0.723182	0.422337	0.076271	0.000000	0.000000	0.255102
comp_mix_run2	9012	2	2	0.181912	0.299924	0.324009	0.178407	0.214131	0.141997	0.244520	0.235358	0.067778	0.000000	0.000000	0.255102
comp_num_run1	9012	2	2	0.292772	0.444124	0.673477	0.483453	0.239806	0.155142	0.769727	0.290183	0.069274	0.000000	0.000000	0.255102
comp_num_run2	9012	2	2	0.205446	0.358477	0.313625	0.272426	0.152918	0.061163	0.373298	0.199196	0.066190	0.000000	0.000000	0.255102
symbolic1	9012	2	2	0.121720	0.198436	0.328079	0.332996	0.151092	0.109602	0.377260	0.165253	0.077463	0.000000	0.000000	0.222717
symbolic2	9012	2	2	0.468098	0.459044	0.657259	0.453464	1.126142	0.444191	1.359152	0.745962	0.082584	0.000000	0.000000	0.222717
comp_dot_run1	9036	2	1	0.882783	1.773228	5.782897	5.876298	2.833211	1.762286	6.715392	4.003779	0.241440	9.000000	1.000000	2.806122
comp_dot_run2	9036	2	1	1.459943	0.836084	2.350508	8.318612	2.317623	3.582630	7.384072	5.592025	0.193007	11.000000	0.000000	3.061224
comp_mix_run1	9036	2	1	1.919065	0.420575	1.915280	3.481930	3.249019	3.911136	3.635118	2.674554	0.147356	4.000000	0.000000	1.275510
comp_mix_run2	9036	2	1	3.283869	2.306044	11.437187	14.773329	4.740024	7.699969	15.922502	11.795555	1.105435	80.000000	62.000000	32.142857
comp_num_run1	9036	2	1	0.285739	0.239834	0.910560	2.397607	0.571667	0.604161	2.017068	2.383976	0.104508	1.000000	0.000000	0.510204
comp_num_run2	9036	2	1	0.278821	0.995215	5.440056	5.123315	2.116002	2.146901	5.963350	3.692524	0.158680	9.000000	0.000000	2.551020
symbolic1	9036	2	1	2.261436	1.771257	7.229733	10.697523	3.195781	5.601378	11.692680	8.029721	0.199840	8.000000	3.000000	2.449889
symbolic2	9036	2	1	2.858610	2.267550	7.692780	10.902154	7.334709	8.263322	10.361452	8.519746	0.388936	29.000000	0.000000	6.681514
comp_dot_run1	9044	2	1	1.027239	0.830728	0.601241	0.593725	0.519026	0.322919	1.250619	0.462849	0.149257	0.000000	0.000000	0.255102
comp_dot_run2	9044	2	1	1.185802	2.414752	1.567213	1.489780	0.739451	0.264773	3.256938	1.347679	0.158591	0.000000	0.000000	0.255102
comp_mix_run1	9044	2	1	0.512430	2.545645	2.920959	3.827955	0.836920	1.115645	3.113364	1.802347	0.130373	3.000000	0.000000	1.020408
comp_mix_run2	9044	2	1	0.635941	9.744227	4.215629	8.457408	0.671655	0.936061	13.084509	10.273082	0.191639	5.000000	0.000000	1.530612
comp_num_run1	9044	2	1	0.215765	0.298136	0.177265	0.188701	0.149041	0.074053	0.359914	0.262583	0.157873	0.000000	0.000000	14.285714
comp_num_run2	9044	2	1	0.282932	0.270752	0.576641	1.138946	0.413237	0.354698	1.405291	0.533627	0.087613	0.000000	0.000000	0.255102
symbolic1	9044	2	1	1.153778	3.192617	5.071074	2.936224	0.939265	0.967822	5.268984	1.767320	0.189671	1.000000	1.000000	0.668151
symbolic2	9044	2	1	0.445850	2.307906	1.180981	1.128023	1.000411	0.632586	2.322256	0.893153	0.101515	0.000000	0.000000	0.222717
comp_mix_run1	9044	2	2	0.512430	2.545645	2.920959	3.827955	0.836920	1.115645	3.113364	1.802347	0.130373	3.000000	0.000000	1.020408
comp_num_run2	9044	2	2	0.282932	0.270752	0.576641	1.138946	0.413237	0.354698	1.405291	0.533627	0.087613	0.000000	0.000000	0.255102
symbolic2	9044	2	2	0.445850	2.307906	1.180981	1.128023	1.000411	0.632586	2.322256	0.893153	0.101515	0.000000	0.000000	0.222717
