TASK	PID	Vist	Session	Range x	Range y	Range z	Range pitch	Range roll	Range yaw	Max Displacement	Max Scan-to-Scan Displacement	Mean Scan-to-Scan Displacement	Num Scans > 0.5 Voxel Displacement	Num Scans > 5% Global Signal	% of Volumes Repaired
sym2	9129	1	1	0.506416	0.378456	2.018143	0.964659	2.261459	2.094324	2.854617	1.378958	0.206697	0.000000	0.000000	0.226757
sym3	9129	1	1	0.916810	0.941956	4.615501	3.574919	6.529492	2.252115	6.228766	5.813507	0.319621	10.000000	0.000000	2.494331
sym4	9129	1	1	0.472183	1.064270	3.285481	1.430569	5.113630	2.183668	3.609049	3.901011	0.255102	5.000000	0.000000	1.360544
resting	9129	1	1	2.113556	2.990883	4.618725	4.370161	5.857418	4.407847	7.808496	2.397215	0.186067	6.000000	0.000000	0.947226
grid1	9129	1	1	2.740394	2.769684	5.096054	3.384499	13.000097	4.590343	12.214282	10.237028	0.415642	22.000000	5.000000	5.668934
grid3	9129	1	1	1.168198	1.379738	2.828464	4.481444	3.108965	3.697509	5.176737	3.276476	0.227404	6.000000	0.000000	1.587302
sym1	9182	2	1	0.642113	0.597839	1.804970	1.072157	2.250111	0.967020	2.047720	0.811110	0.126763	0.000000	0.000000	0.226757
sym2	9182	2	1	0.429802	0.581726	1.557919	0.642843	1.808395	0.678551	1.991837	0.891686	0.124178	0.000000	0.000000	0.226757
sym3_redo	9182	2	1	1.011345	2.645172	3.067646	1.429552	2.299406	1.050858	3.462675	2.033371	0.258783	1.000000	0.000000	0.453515
sym4	9182	2	1	0.600808	0.830711	2.184059	0.980728	2.314484	0.953756	1.735614	1.556153	0.135106	1.000000	0.000000	0.453515
resting	9182	2	1	0.721931	0.357185	1.638134	0.679844	1.990425	1.057922	2.624494	0.747757	0.125062	0.000000	0.000000	0.135318
grid1	9182	2	1	1.797165	3.245514	5.473289	3.727376	3.836815	1.499855	5.685222	2.932684	0.372822	17.000000	0.000000	4.081633
grid2	9182	2	1	1.747818	4.146827	4.532162	3.162894	4.996720	1.843595	6.975787	3.426656	0.221809	10.000000	0.000000	2.494331
sym1	9225	1	1	4.965133	10.880520	12.703293	4.003015	12.945080	5.612709	16.420510	15.682661	2.448866	249.000000	1.000000	56.689342
sym2	9225	1	1	5.586296	22.339757	13.645450	8.342056	20.956392	6.134136	27.967309	23.607156	3.779827	258.000000	16.000000	59.637188
sym3	9225	1	1	12.316277	22.048513	9.902900	20.251680	23.495504	9.858732	22.847496	21.658482	5.198762	367.000000	60.000000	88.888889
sym4	9225	1	1	8.485978	14.758636	12.464245	12.550801	17.544552	6.406425	16.946422	15.363230	2.033671	176.000000	17.000000	40.362812
resting	9225	1	1	1.109993	9.355232	1.847809	1.206160	7.892881	0.887823	7.192190	7.756164	0.137748	11.000000	0.000000	1.623816
sym1	9225	2	1	0.146049	0.100555	0.487731	0.304151	0.854160	0.269989	0.681972	0.463278	0.071349	0.000000	0.000000	0.226757
sym2	9225	2	1	0.178299	0.259949	0.859691	0.270939	0.754778	0.360672	1.022290	0.357070	0.095750	0.000000	0.000000	0.226757
sym2_redo	9225	2	1	1.439591	3.257362	8.496082	6.345466	7.708659	4.018549	8.369419	7.637953	0.918625	61.000000	9.000000	15.419501
